city,region,address,price,price_for_square_metre,total_area,floor,num_of_floors,num_of_rooms,subway,apartment_complex
Дніпро,Чечелівський,"вул. Професора Герасюти(Каверіна), 1",56 000 $,932 $,60.08 м²,4,9,2,,
Одеса,Київський,вул. Академіка Вільямса,34 999 $,1 039 $,33.7 м²,2,17,1,,ЖК Акварель 8
Київ,,Залізничне шосе,388 069 $,1 741 $,222.88 м²,5,26,5,Либідська,ЖК Nordica Residence
Київ,Печерський,"вул. Андрія Верхогляда(Драгомирова), 20",240 000 $,4 000 $,60 м²,15,23,2,,
Київ,Голосіївський,"вул. Степана Рудницького(Академіка Вільямса), 19/14",130 000 $,1 646 $,79 м²,9,22,2,Васильківська,ЖК Венеція
Ірпінь,,"вул. Українська, 83Б корпус 2",70 000 $,1 136 $,61.6 м²,12,14,2,,ЖК Версаль парк
Дніпро,Соборний,"вул. Королеви Єлизавети ІІ(Глінки), 2",85 000 $,1 232 $,69 м²,6,21,2,,
Київ,Дарницький,"вул. Гришка Михайла, 9",91 000 $,948 $,96 м²,4,31,3,Позняки,
Ужгород,Боздош,"вул. О. Хіри, 6",79 680 $,1 200 $,66.4 м²,4,8,2,,ЖК Парковий
Київ,,Залізничне шосе,368 874 $,2 029 $,181.83 м²,5,26,5,Либідська,ЖК Nordica Residence
Софіївська Борщагівка,,"просп. Мартинова, 13",77 000 $,1 925 $,40 м²,5,10,1,,
Ужгород,,"пров. Вербний, 8",81 900 $,1 300 $,63 м²,2,3,2,,
Ужгород,БАМ,"пров. Вербний, 8",124 800 $,1 200 $,104 м²,1,3,3,,
Київ,,"вул. Івана Кочерги, 17А",43 368 $,1 181 $,36.73 м²,1,24,1,,ЖК Синергія Київ
Ірпінь,,"вул. Достоєвського, 1В/19",48 300 $,776 $,62.24 м²,5,9,2,,ЖК Синергія Сіті
Тернопіль,Дружба,"вул. Тролейбусна, 7А",53 043 $,578 $,91.72 м²,2,10,2,,ЖК по вул. Лучаківського-Тролейбусна
Київ,,"вул. Івана Кочерги, 17А",48 742 $,1 253 $,38.9 м²,1,24,1,,ЖК Синергія Київ
Хмельницький,Південно-Західний,"вул. Інститутська, 6/1А",42 500 $,874 $,48.6 м²,9,10,1,,
Ірпінь,,"вул. Матвія Донцова(Тургенєвська), 50",49 000 $,1 350 $,36.3 м²,4,10,1,,ЖК Смайл
Київ,Дарницький,"вул. Зарічна, 2 корпус 3",117 500 $,2 369 $,49.6 м²,4,12,1,Осокорки,ЖК Славутич
Тернопіль,Дружба,"вул. Тролейбусна, 7А",51 210 $,578 $,88.55 м²,2,10,2,,ЖК по вул. Лучаківського-Тролейбусна
Київ,,"вул. Івана Кочерги, 17А",42 607 $,1 229 $,34.67 м²,1,24,1,,ЖК Синергія Київ
Київ,Подільський,"вул. Набережно-Хрещатицька, 21",216 220 $,3 800 $,56.9 м²,1,6,1,Поштова площа,ЖК Illinsky House
Одеса,,"вул. Чубаївська, 1",174 108 $,1 240 $,140.41 м²,3,12,3,,
Львів,Франківський,"вул. Володимира Великого, 63",60 500 $,962 $,62.9 м²,1,9,3,,
Вінниця,Ленінський,"пров. Цегельний, 12",80 990 $,1 109 $,73 м²,3,20,3,,ЖК Central Park Vinnytsia
Хмельницький,,вул. Озерна,31 910 $,679 $,47.01 м²,1,10,1,,ЖК Едем
Ірпінь,,вул. Білокур(Курська),62 000 $,1 069 $,58 м²,1,5,2,,ЖК Green Yard
